Variable,Description,N,Mean,SD,Min,Median,Max
sdg16_9_cr,Civil Registry Coverage,339,88.38348063716815,5.070306719452725,67.900002,89.5,98.199997
sdg6_1_dwc,Drinking Water Coverage,339,73.60678482064897,18.28249516510828,8.8000002,76.099998,99.900002
sdg7_1_ec,Electricity Coverage,339,69.30648956342183,18.604423529295964,14.7,72.599998,99.400002
sdg4_c_qts,Qualified Teachers (Secondary),339,57.35250740766962,16.530621280770823,0,59.599998,100
sdg3_1_idca,Institutional Childbirth,339,49.34955731268437,21.84539592125285,8.8999996,48.900002,90
sdg9_c_mnc,Network Coverage,339,43.08141600383481,18.871586947154412,2.8,41.900002,89.400002
sdg6_2_sc,Sanitation Coverage,339,41.894100405309736,21.836496358228686,1.5,40.200001,96.800003
sdg1_4_abs,Access to 3 Basic Services,339,34.42182889764012,24.024048464285027,0.1,27.700001,95.599998
