dep,N,Mean,SD,Min,Median,Max
Tarija,11,60.599999363636364,5.50000001818195,51.799999,59.5,70.599998
Santa Cruz,56,54.28928555357143,4.798017763118117,42.700001,54.200001,64.099998
Cochabamba,47,52.50212759574468,8.501802626050818,39.400002,52,73.699997
La Paz,87,50.97816085057471,5.374756281640839,41.799999,50.5,80.199997
Oruro,35,50.6828572,5.027072758206736,42.900002,50,67.400002
Beni,19,50.473684210526315,4.503805889993393,43.900002,51,61.299999
Chuquisaca,29,47.796551310344825,6.603596376460638,35.700001,47.5,69.599998
Potosí,40,47.402499975,7.553144145805118,36.299999,47.549999,66.199997
Pando,15,45.43333333333333,5.592554059598028,36.400002,46,57.099998
